200,2.755,0.013775,93.6,0.702
490,3.583,0.017915,87,0.6525
671,4.21,0.02105,83.5,0.62625
798,4.578,0.02289,79.8,0.5985
920,4.901,0.024505,76.3,0.57225
1022,5.148,0.02574,73.4,0.5505
1114,5.346,0.02673,70.9,0.53175
1204,5.52,0.0276,68.4,0.513
