0.4491,5.4,0.6075,2
0.6433,7.7,1.1922,4
0.8466,10.1,1.6768,5.7
1.3845,16.7,2.477,8.5
1.8443,22.2,3.164,10.9
2.236,26.9,4.625,16
3.249,39.2,5.012,17.4
3.947,47.6,5.666,19.7
4.413,53.2,6.678,23.3
5.295,63.9,7.28,25.4
